iter	Passed	Remaining
0	8	4116
1	15	3967
2	24	4000
3	32	3996
4	40	3982
5	48	4031
6	56	3992
7	64	3969
8	72	3950
9	80	3937
10	88	3925
11	96	3930
12	104	3923
13	112	3912
14	120	3895
15	128	3879
16	136	3877
17	144	3866
18	151	3835
19	159	3828
20	167	3818
21	175	3812
22	183	3809
23	191	3792
24	198	3776
25	207	3779
26	215	3776
27	223	3764
28	230	3746
29	238	3732
30	247	3737
31	255	3735
32	263	3726
33	270	3709
34	278	3704
35	287	3701
36	294	3689
37	302	3675
38	310	3668
39	318	3661
40	325	3649
41	333	3639
42	342	3638
43	349	3625
44	357	3611
45	364	3599
46	372	3585
47	379	3570
48	386	3557
49	393	3544
50	401	3538
51	409	3526
52	416	3515
53	425	3512
54	433	3504
55	441	3499
56	449	3492
57	456	3482
58	464	3473
59	472	3462
60	479	3448
61	486	3439
62	494	3432
63	502	3424
64	511	3422
65	519	3414
66	526	3405
67	534	3393
68	541	3380
69	549	3375
70	557	3366
71	564	3358
72	572	3346
73	580	3339
74	586	3325
75	594	3315
76	601	3305
77	609	3296
78	616	3284
79	624	3276
80	632	3269
81	639	3260
82	646	3248
83	653	3238
84	662	3232
85	670	3226
86	677	3218
87	684	3206
88	692	3197
89	700	3190
90	707	3179
91	714	3166
92	721	3158
93	729	3152
94	738	3148
95	745	3136
96	752	3124
97	759	3114
98	766	3103
99	773	3095
100	781	3088
101	788	3077
102	795	3068
103	803	3059
104	810	3050
105	818	3041
106	825	3033
107	832	3021
108	839	3011
109	847	3003
110	854	2995
111	861	2985
112	869	2976
113	876	2968
114	883	2958
115	891	2949
116	898	2941
117	906	2934
118	914	2926
119	921	2916
120	929	2911
121	937	2903
122	944	2893
123	951	2884
124	958	2876
125	966	2868
126	974	2861
127	981	2853
128	988	2842
129	996	2835
130	1003	2826
131	1011	2820
132	1019	2814
133	1027	2807
134	1035	2799
135	1043	2792
136	1050	2784
137	1058	2776
138	1065	2768
139	1073	2761
140	1081	2752
141	1088	2744
142	1097	2738
143	1104	2729
144	1111	2720
145	1118	2712
146	1126	2704
147	1133	2694
148	1140	2687
149	1147	2677
150	1154	2668
151	1161	2658
152	1168	2650
153	1175	2641
154	1182	2632
155	1190	2625
156	1197	2616
157	1205	2609
158	1213	2602
159	1220	2594
160	1227	2584
161	1235	2578
162	1244	2571
163	1252	2566
164	1260	2558
165	1278	2572
166	1325	2643
167	1334	2636
168	1342	2628
169	1349	2620
170	1357	2611
171	1364	2602
172	1372	2594
173	1380	2586
174	1389	2580
175	1397	2572
176	1404	2563
177	1412	2556
178	1421	2549
179	1430	2542
180	1437	2534
181	1446	2527
182	1454	2519
183	1461	2509
184	1469	2502
185	1477	2494
186	1485	2486
187	1493	2478
188	1501	2470
189	1508	2461
190	1516	2452
191	1524	2444
192	1531	2436
193	1540	2429
194	1548	2422
195	1556	2414
196	1565	2407
197	1572	2398
198	1580	2390
199	1587	2381
200	1595	2373
201	1603	2365
202	1611	2357
203	1618	2348
204	1626	2340
205	1634	2332
206	1642	2325
207	1650	2316
208	1657	2308
209	1665	2300
210	1674	2293
211	1681	2284
212	1689	2276
213	1697	2268
214	1705	2260
215	1713	2253
216	1721	2245
217	1729	2237
218	1737	2229
219	1746	2223
220	1754	2215
221	1763	2207
222	1771	2200
223	1778	2191
224	1786	2183
225	1794	2175
226	1800	2165
227	1808	2157
228	1816	2149
229	1824	2142
230	1858	2164
231	1872	2163
232	1887	2163
233	1896	2156
234	1905	2148
235	1915	2142
236	1923	2134
237	1931	2126
238	1939	2118
239	1948	2110
240	1955	2101
241	1964	2093
242	1972	2086
243	1981	2078
244	1989	2070
245	1997	2062
246	2005	2054
247	2013	2046
248	2022	2038
249	2030	2030
250	2038	2022
251	2046	2013
252	2053	2004
253	2060	1996
254	2068	1987
255	2075	1978
256	2084	1970
257	2091	1962
258	2099	1953
259	2108	1946
260	2115	1937
261	2123	1928
262	2130	1920
263	2138	1911
264	2145	1902
265	2153	1894
266	2161	1885
267	2168	1877
268	2176	1868
269	2184	1861
270	2192	1852
271	2200	1844
272	2208	1836
273	2216	1828
274	2224	1819
275	2231	1811
276	2239	1802
277	2246	1794
278	2254	1785
279	2262	1777
280	2270	1769
281	2278	1761
282	2287	1753
283	2295	1745
284	2302	1736
285	2310	1728
286	2317	1720
287	2325	1711
288	2334	1704
289	2342	1696
290	2350	1688
291	2358	1680
292	2366	1672
293	2374	1663
294	2382	1655
295	2390	1647
296	2397	1639
297	2405	1630
298	2413	1622
299	2421	1614
300	2429	1606
301	2437	1598
302	2445	1589
303	2454	1582
304	2460	1573
305	2469	1565
306	2476	1556
307	2483	1548
308	2490	1539
309	2497	1530
310	2505	1522
311	2513	1514
312	2520	1505
313	2529	1498
314	2536	1489
315	2544	1481
316	2552	1473
317	2559	1465
318	2567	1456
319	2575	1448
320	2583	1440
321	2592	1432
322	2601	1425
323	2608	1416
324	2615	1408
325	2624	1400
326	2632	1392
327	2640	1384
328	2647	1375
329	2655	1368
330	2664	1360
331	2671	1351
332	2677	1342
333	2685	1334
334	2692	1326
335	2700	1318
336	2708	1309
337	2715	1301
338	2722	1293
339	2730	1284
340	2738	1276
341	2745	1268
342	2752	1259
343	2760	1251
344	2768	1243
345	2775	1235
346	2782	1226
347	2789	1218
348	2795	1209
349	2804	1201
350	2812	1193
351	2819	1185
352	2828	1177
353	2836	1169
354	2843	1161
355	2850	1153
356	2857	1144
357	2864	1136
358	2872	1128
359	2882	1121
360	2890	1113
361	2898	1104
362	2905	1096
363	2914	1088
364	2921	1080
365	2929	1072
366	2937	1064
367	2945	1056
368	2952	1048
369	2959	1039
370	2968	1032
371	2975	1023
372	2982	1015
373	2990	1007
374	2998	999
375	3008	992
376	3015	983
377	3023	975
378	3031	967
379	3038	959
380	3047	951
381	3054	943
382	3062	935
383	3069	927
384	3077	919
385	3085	911
386	3093	903
387	3102	895
388	3109	887
389	3118	879
390	3126	871
391	3134	863
392	3141	855
393	3149	847
394	3156	839
395	3164	831
396	3173	823
397	3183	815
398	3191	807
399	3199	799
400	3209	792
